"latitude","longitude","genus","species","dbh","year_min","year_max","crown","height","common","location","ref","maintenance","maturity","planted","updated","health","structure","description","family","address","significance","age"
"-37.789246535"," 144.98331792","Ulmus","U. parvifolia",62,NA,NA,NA,15,"Chinese Elm","residential",36,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"300 MARY STREET, RICHMOND, 3121","Aesthetic Value, Location of Landscape Context","41-60 years"
"-37.786079094"," 144.98473411","Eucalyptus","E. camaldulensis",96,NA,NA,NA,16,"River Red Gum","other",37,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"102 MADDEN GROVE, BURNLEY, 3121","Location of Landscape Context, Significant Habitat Value, Aesthetic Value","81-100 years"
"-37.787021864"," 144.98263939","Eucalyptus","E. camaldulensis",92,NA,NA,NA,17,"River Red Gum","other",39,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"102 MADDEN GROVE, BURNLEY, 3121","Significant Habitat Value, Outstanding Size, Particularly Old","100+ years"
"-37.787021864"," 144.98263939","Eucalyptus","E. camaldulensis",92,NA,NA,NA,17,"River Red Gum","other",41,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"102 MADDEN GROVE, BURNLEY, 3121","Remnant, Outstanding Size, Particularly Old, Significant Habitat Value","100+ years"
"-37.789365943"," 144.98398055","Ulmus","U. minor 'Atinia'",91,NA,NA,NA,16,"English Elm","street",47,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"0 THE ESPLANADE  , CLIFTON HILL, 3068","Outstanding Size, Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.792763669"," 144.98909237","Schinus","S. molle",123,NA,NA,NA,9,"Peppercorn Tree","other",49,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"1 HEIDELBERG ROAD, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.788434721"," 144.99528814","Phoenix","P. canariensis",86,NA,NA,NA,13,"Canary Island Date Palm","other",50,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"0 HEIDELBERG ROAD, CLIFTON HILL, 3068","Location of Landscape Context","61-80 years"
"-37.788434721"," 144.99528814","Schinus","S. molle",134,NA,NA,NA,13,"Peppercorn Tree","other",51,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"185 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Particularly Old","100+ years"
"-37.791988768"," 144.99293451","Schinus","S. molle",92,NA,NA,NA,10,"Peppercorn Tree","other",52,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"185 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Location of Landscape Context","81-100 years"
"-37.792845954"," 144.99000279","Platanus","P. x acerifolia",72,NA,NA,NA,18,"London Plane","other",53,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"185 GOLD STREET, CLIFTON HILL, 3068","Location of Landscape Context","61-80 years"
